system:index,B1,B10,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,Latitude,Longitude,NDVI,NDWI,QA10,QA20,QA60,.geo
0_+861764+203989,1376.5,17.0,1324.5,1014.5,1145.0,1015.5,1037.5,1042.5,1187.0,1289.5,1199.5,1397.5,341.0,18.324688564989913,77.41362216616174,0.07250013947486877,-0.04939453303813934,0.0,0.0,0.0,
0_+861764+203990,1376.5,17.0,1536.5,1122.0,1138.0,1014.0,1024.5,1107.5,1354.5,1562.0,1305.0,1681.5,341.0,18.324778396518326,77.41362216616174,0.12087365984916687,-0.08094306290149689,0.0,0.0,0.0,
0_+861765+203981,1444.0,24.0,1309.0,904.0,1187.0,1022.0,1012.0,1047.0,1251.0,1491.0,1154.0,1557.0,274.0,18.323969912762617,77.41371199769014,0.06555863469839096,-0.06293138116598129,0.0,0.0,0.0,
0_+861765+203982,1373.5,16.5,1236.5,957.0,1128.0,990.5,998.5,1022.5,1144.0,1212.0,1114.0,1340.0,339.0,18.32405974429103,77.41371199769014,0.05504383519291878,-0.0521157830953598,0.0,0.0,0.0,
0_+861765+203983,1373.5,16.5,1236.5,957.0,1129.5,1002.5,1043.5,1022.5,1144.0,1212.0,1143.5,1340.0,339.0,18.32414957581944,77.41371199769014,0.045908767729997635,-0.039056383073329926,0.0,0.0,0.0,
0_+861765+203984,1373.5,16.5,1246.5,987.0,1140.0,1011.0,1022.0,1028.5,1106.5,1221.5,1144.0,1292.5,339.0,18.324239407347854,77.41371199769014,0.05655825883150101,-0.04283175617456436,0.0,0.0,0.0,
0_+861765+203985,1373.5,16.5,1246.5,987.0,1145.5,1016.0,1032.5,1028.5,1106.5,1221.5,1147.0,1292.5,339.0,18.324329238876263,77.41371199769014,0.052632078528404236,-0.04155176505446434,0.0,0.0,0.0,
0_+861765+203986,1376.5,17.0,1252.0,1001.5,1142.5,1017.5,1028.5,1032.5,1103.5,1222.5,1163.0,1302.5,341.0,18.324419070404677,77.41371199769014,0.0613274946808815,-0.036939363926649094,0.0,0.0,0.0,
0_+861765+203987,1376.5,17.0,1252.0,1001.5,1138.0,1012.5,1035.5,1032.5,1103.5,1222.5,1158.5,1302.5,341.0,18.32450890193309,77.41371199769014,0.0560910739004612,-0.03879491239786148,0.0,0.0,0.0,
0_+861765+203988,1376.5,17.0,1324.5,1014.5,1150.0,1007.5,1038.5,1042.5,1187.0,1289.5,1179.0,1397.5,341.0,18.3245987334615,77.41371199769014,0.06342420727014542,-0.05795934796333313,0.0,0.0,0.0,
0_+861765+203989,1306.0,10.0,1292.0,1026.0,1082.0,974.0,1006.0,1032.0,1155.0,1259.0,1237.0,1352.0,412.0,18.324688564989913,77.41371199769014,0.10298707336187363,-0.021747726947069168,0.0,0.0,0.0,
0_+861765+203990,1376.5,17.0,1536.5,1122.0,1096.5,967.5,948.5,1107.5,1354.5,1562.0,1503.0,1681.5,341.0,18.324778396518326,77.41371199769014,0.22639881074428558,-0.010681102983653545,0.0,0.0,0.0,
